@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute 'PiggyBank X' numeric
@attribute 'PiggyBank Y' numeric
@attribute 'PiggyBank Z' numeric
@attribute 'Camera Position X' numeric
@attribute 'Camera Position Y' numeric
@attribute 'Camera Position Z' numeric
@attribute 'Camera Rotation X' numeric
@attribute 'Camera Rotation Y' numeric
@attribute 'Camera Rotation Z' numeric
@attribute 'Don\'t Touch X' numeric
@attribute 'Water Volume Rise' numeric
@attribute 'Don\'t Touch Z' numeric

@data
5071,'2024/04/19 15:32:19:450',16,-0.065945,-0.000194,-0.997822,-0.040587,-0.010997,-0.02387,?,?,?,?,?,?,?,?,?,?,?,?
5072,'2024/04/19 15:32:19:450',16,-0.065945,0.000311,-0.997822,-0.040587,-0.010997,-0.02387,?,?,?,?,?,?,?,?,?,?,?,?
5073,'2024/04/19 15:32:19:450',16,-0.065968,0.000311,-0.997822,-0.040587,-0.010997,-0.02387,?,?,?,?,?,?,?,?,?,?,?,?
5074,'2024/04/19 15:32:19:450',16,-0.065968,0.000311,-0.997822,-0.040587,-0.010997,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5075,'2024/04/19 15:32:19:450',16,-0.065968,0.000311,-0.997822,-0.040587,0.007956,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5076,'2024/04/19 15:32:19:450',16,-0.065968,0.000311,-0.997822,-0.024327,0.007956,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5077,'2024/04/19 15:32:19:461',16,-0.065968,0.000311,-0.997858,-0.024327,0.007956,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5078,'2024/04/19 15:32:19:461',16,-0.065968,0.000462,-0.997858,-0.024327,0.007956,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5079,'2024/04/19 15:32:19:461',16,-0.065419,0.000462,-0.997858,-0.024327,0.007956,-0.001051,?,?,?,?,?,?,?,?,?,?,?,?
5080,'2024/04/19 15:32:19:461',16,-0.065419,0.000462,-0.997858,-0.024327,0.007956,0.016436,?,?,?,?,?,?,?,?,?,?,?,?
